#leave the following line; indicates category name
biosyn

#updated on 01-09-2019
PF13183 4Fe-4S dicluster domain
PF18130 ATP-grasp N-terminal domain
PF13535 ATP-grasp domain
PF14518 Iron-containing redox enzyme
PF00708 Acylphosphatase
PF04954 Siderophore-interacting protein
PF08021 Siderophore-interacting FAD-binding domain
PF12697 Alpha/beta hydrolase family
PF13561 Enoyl-(Acyl carrier protein) reductase
PF12710 haloacid dehalogenase-like hydrolase
PF13581 Histidine kinase-like ATPase domain
PF16896 Phosphogluconate dehydrogenase (decarboxylating) C-term

#Removed:
# PF00753	Metallo-beta-lactamase superfamily
# PF00652	Ricin-type beta-trefoil lectin domain
# PF00403	Heavy-metal-associated domain
# PF07993	Male sterility protein
# PF00013	KH domain
# PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
# PF00027	Cyclic nucleotide-binding domain

# updates on 23_01_2019
#TIGR01522	calcium-transporting P-type ATPase, PMR1-type
#TIGR01523	potassium/sodium efflux P-type ATPase, fungal-type
#TIGR01524	magnesium-translocating P-type ATPase
#TIGR01525	heavy metal translocating P-type ATPase
TIGR01526	nicotinamide-nucleotide adenylyltransferase
TIGR01527	nicotinamide-nucleotide adenylyltransferase
TIGR01530	NAD nucleotidase
TIGR01532	erythrose-4-phosphate dehydrogenase
TIGR01534	glyceraldehyde-3-phosphate dehydrogenase, type I
TIGR01535	glucan 1,4-alpha-glucosidase
TIGR01536	asparagine synthase (glutamine-hydrolyzing)
TIGR01543	phage prohead protease, HK97 family
TIGR01546	glyceraldehyde-3-phosphate dehydrogenase, type II
TIGR01553	formate dehydrogenase-N alpha subunit
TIGR01556	rhamnosyltransferase
TIGR01559	farnesyl-diphosphate farnesyltransferase
TIGR01574	tRNA-i(6)A37 thiotransferase enzyme MiaB
TIGR01575	ribosomal-protein-alanine acetyltransferase
TIGR01580	nitrate reductase, alpha subunit
TIGR01582	formate dehydrogenase, beta subunit
TIGR01583	formate dehydrogenase, gamma subunit
TIGR01584	citrate lyase, alpha subunit
TIGR01588	citrate (pro-3S)-lyase, beta subunit
TIGR01591	formate dehydrogenase, alpha subunit
TIGR01596	CRISPR-associated endonuclease Cas3-HD
TIGR01608	citrate lyase acyl carrier protein
TIGR01621	pseudouridine synthase Rlu family protein, TIGR01621
TIGR01647	plasma-membrane proton-efflux P-type ATPase
TIGR01650	cobaltochelatase, CobS subunit
TIGR01651	cobaltochelatase, CobT subunit
TIGR01652	phospholipid-translocating P-type ATPase, flippase
TIGR01658	EYA conserved domain
TIGR01660	nitrate reductase, beta subunit
TIGR01663	polynucleotide kinase 3'-phosphatase
TIGR01668	HAD phosphatase, family IIIA
TIGR01670	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family
TIGR01672	HAD phosphatase, family IIIB
TIGR01676	galactonolactone dehydrogenase
TIGR01677	plant-specific FAD-dependent oxidoreductase
TIGR01688	D-alanine--poly(phosphoribitol) ligase, subunit 2
TIGR01691	2,3-diketo-5-methylthio-1-phosphopentane phosphatase
TIGR01692	3-hydroxyisobutyrate dehydrogenase
TIGR01693	protein-P-II uridylyltransferase
TIGR01694	methylthioadenosine phosphorylase
TIGR01696	phosphopentomutase
TIGR01697	inosine/guanosine/xanthosine phosphorylase family
TIGR01698	purine nucleotide phosphorylase
TIGR01699	xanthosine phosphorylase
TIGR01700	purine nucleoside phosphorylase I, inosine and guanosine-specific
TIGR01702	carbon-monoxide dehydrogenase, catalytic subunit
TIGR01703	hydroxylamine reductase
TIGR01704	MTA/SAH nucleosidase
TIGR01706	periplasmic nitrate reductase, large subunit
TIGR01712	phage N-6-adenine-methyltransferase
TIGR01717	AMP nucleosidase
TIGR01718	uridine phosphorylase
TIGR01719	uridine phosphorylase
TIGR01722	methylmalonate-semialdehyde dehydrogenase (acylating)
TIGR01723	5,10-methenyltetrahydromethanopterin hydrogenase
TIGR01734	D-alanine--poly(phosphoribitol) ligase, subunit 1
TIGR01735	phosphoribosylformylglycinamidine synthase
TIGR01736	phosphoribosylformylglycinamidine synthase II
TIGR01737	phosphoribosylformylglycinamidine synthase I
TIGR01738	pimelyl-[acyl-carrier protein] methyl ester esterase
TIGR01740	orotidine 5'-phosphate decarboxylase
TIGR01744	xanthine phosphoribosyltransferase
TIGR01745	aspartate-semialdehyde dehydrogenase
TIGR01747	diaminopropionate ammonia-lyase family
TIGR01748	L-rhamnose isomerase
TIGR01749	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabA
TIGR01750	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ
TIGR01751	crotonyl-CoA carboxylase/reductase
TIGR01755	NAD(P)H:quinone oxidoreductase, type IV
TIGR01756	lactate dehydrogenase
TIGR01757	malate dehydrogenase, NADP-dependent
TIGR01758	malate dehydrogenase, NAD-dependent
TIGR01759	malate dehydrogenase
TIGR01763	malate dehydrogenase, NAD-dependent
TIGR01767	S-methyl-5-thioribose kinase
TIGR01768	geranylgeranylglyceryl phosphate synthase family protein
TIGR01769	phosphoglycerol geranylgeranyltransferase
TIGR01771	L-lactate dehydrogenase
TIGR01772	malate dehydrogenase, NAD-dependent
TIGR01780	succinate-semialdehyde dehydrogenase
TIGR01787	squalene/oxidosqualene cyclases
TIGR01788	glutamate decarboxylase
TIGR01791	chorismate mutase
TIGR01792	urease, alpha subunit
TIGR01793	citrate (Si)-synthase, eukaryotic
TIGR01795	chorismate mutase
TIGR01796	chorismate mutase
TIGR01797	chorismate mutase
TIGR01798	citrate (Si)-synthase
TIGR01799	chorismate mutase
TIGR01801	chorismate mutase
TIGR01802	chorismate mutase
TIGR01804	betaine-aldehyde dehydrogenase
TIGR01805	chorismate mutase
TIGR01806	putative chorismate mutase
TIGR01807	chorismate mutase
TIGR01808	chorismate mutase
TIGR01809	shikimate-5-dehydrogenase
TIGR01810	choline dehydrogenase
TIGR01811	succinate dehydrogenase or fumarate reductase, flavoprotein subunit
TIGR01814	kynureninase
TIGR01815	anthranilate synthase
TIGR01819	2-phospho-L-lactate transferase
TIGR01820	anthranilate synthase component I
TIGR01821	5-aminolevulinic acid synthase
TIGR01822	glycine C-acetyltransferase
TIGR01823	aminodeoxychorismate synthase
TIGR01824	aminodeoxychorismate synthase, component I
TIGR01825	putative pyridoxal phosphate-dependent acyltransferase
TIGR01828	pyruvate, phosphate dikinase
TIGR01829	acetoacetyl-CoA reductase
TIGR01830	3-oxoacyl-[acyl-carrier-protein] reductase
TIGR01832	2-deoxy-D-gluconate 3-dehydrogenase
TIGR01833	hydroxymethylglutaryl-CoA synthase
TIGR01835	hydroxymethylglutaryl-CoA synthase
TIGR01840	esterase, PHB depolymerase family
TIGR01849	polyhydroxyalkanoate depolymerase, intracellular
TIGR01850	N-acetyl-gamma-glutamyl-phosphate reductase
TIGR01851	N-acetyl-gamma-glutamyl-phosphate reductase
TIGR01852	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase
TIGR01853	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
TIGR01854	UDP-2,3-diacylglucosamine diphosphatase
TIGR01855	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit
TIGR01857	phosphoribosylformylglycinamidine synthase
TIGR01858	class II aldolase, tagatose bisphosphate family
TIGR01859	fructose-1,6-bisphosphate aldolase, class II
TIGR01860	nitrogenase vanadium-iron protein, alpha chain
TIGR01861	nitrogenase iron-iron protein, alpha chain
TIGR01862	nitrogenase component I, alpha chain
TIGR01865	CRISPR subtype II RNA-guided endonuclease Cas9
TIGR01877	CRISPR-associated endoribonuclease Cas6
TIGR01879	amidase, hydantoinase/carbamoylase family
TIGR01880	N-acyl-L-amino-acid amidohydrolase
TIGR01882	peptidase T
TIGR01885	ornithine--oxo-acid transaminase
TIGR01886	dipeptidase PepV
TIGR01887	putative dipeptidase
TIGR01890	amino-acid N-acetyltransferase
TIGR01892	acetylornithine deacetylase (ArgE)
TIGR01893	Xaa-His dipeptidase
TIGR01900	succinyl-diaminopimelate desuccinylase
TIGR01910	peptidase, ArgE/DapE family
TIGR01916	coenzyme F420-0:L-glutamate ligase
TIGR01917	glycine reductase, selenoprotein B
TIGR01919	bifunctional HisA/TrpF protein
TIGR01920	shikimate kinase
TIGR01921	diaminopimelate dehydrogenase
TIGR01922	IMP cyclohydrolase
TIGR01923	O-succinylbenzoate-CoA ligase
TIGR01924	anti-sigma B factor
TIGR01925	anti-sigma F factor
TIGR01927	o-succinylbenzoate synthase
TIGR01928	o-succinylbenzoate synthase
TIGR01929	naphthoate synthase
TIGR01930	acetyl-CoA C-acyltransferase
TIGR01931	sulfite reductase [NADPH] flavoprotein, alpha-component
TIGR01934	ubiquinone/menaquinone biosynthesis methyltransferase
TIGR01936	NADH:ubiquinone oxidoreductase, Na(+)-translocating, A subunit
TIGR01937	NADH:ubiquinone oxidoreductase, Na(+)-translocating, B subunit
TIGR01938	NADH:ubiquinone oxidoreductase, Na(+)-translocating, C subunit
TIGR01939	NADH:ubiquinone oxidoreductase, Na(+)-translocating, D subunit
TIGR01940	NADH:ubiquinone oxidoreductase, Na(+)-translocating, E subunit
TIGR01941	NADH:ubiquinone oxidoreductase, Na(+)-translocating, F subunit
TIGR01942	poly(A) polymerase
TIGR01949	predicted phospho-2-dehydro-3-deoxyheptonate aldolase
TIGR01959	NADH oxidoreductase (quinone), F subunit
TIGR01962	NADH dehydrogenase (quinone), D subunit
TIGR01966	ribonuclease PH
TIGR01973	NADH dehydrogenase (quinone), G subunit
TIGR01974	proton-translocating NADH-quinone oxidoreductase, chain L
TIGR01975	beta-aspartyl peptidase
TIGR01982	2-polyprenylphenol 6-hydroxylase
TIGR01983	3-demethylubiquinone-9 3-O-methyltransferase
TIGR01984	2-polyprenyl-6-methoxyphenol 4-hydroxylase
TIGR01986	glutathione synthetase
TIGR01988	ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family
TIGR01989	ubiquinone biosynthesis monooxygenase COQ6
TIGR01990	beta-phosphoglucomutase
TIGR01992	PTS system, trehalose-specific IIBC component
TIGR01993	pyrimidine 5'-nucleotidase
TIGR01995	PTS system, beta-glucoside-specific IIABC component
TIGR01996	PTS system, sucrose-specific IIBC component
TIGR01998	PTS system, N-acetylglucosamine-specific IIBC component
TIGR02002	PTS system, glucose-specific IIBC component
TIGR02003	PTS system, IIBC component
TIGR02004	PTS system, maltose and glucose-specific IIBC component
TIGR02005	PTS system, alpha-glucoside-specific IIBC component
TIGR02006	cysteine desulfurase IscS
TIGR02014	chlorophyllide reductase subunit Z
TIGR02015	chlorophyllide reductase subunit Y
TIGR02017	N-formylglutamate deformylase
TIGR02020	2-vinyl bacteriochlorophyllide hydratase
TIGR02021	magnesium protoporphyrin O-methyltransferase
TIGR02022	formiminoglutamate deiminase
TIGR02023	geranylgeranyl reductase
TIGR02024	glutamate formiminotransferase
TIGR02025	magnesium chelatase, H subunit
TIGR02029	magnesium-protoporphyrin IX monomethyl ester aerobic oxidative cyclase
TIGR02030	magnesium chelatase ATPase subunit I
TIGR02031	magnesium chelatase ATPase subunit D
TIGR02032	geranylgeranyl reductase family
TIGR02033	dihydropyrimidinase
TIGR02034	sulfate adenylyltransferase, large subunit
TIGR02035	D-serine ammonia-lyase
TIGR02037	peptidase Do
TIGR02038	periplasmic serine peptidase DegS
TIGR02039	sulfate adenylyltransferase, small subunit
TIGR02041	sulfite reductase (NADPH) hemoprotein, beta-component
TIGR02042	sulfite reductase, ferredoxin dependent
TIGR02045	ADP-specific phosphofructokinase
TIGR02048	putative glutamate--cysteine ligase
TIGR02049	glutamate--cysteine ligase
TIGR02050	carboxylate-amine ligase, YbdK family
TIGR02053	mercury(II) reductase
TIGR02055	adenylylsulfate reductase, thioredoxin dependent
TIGR02056	chlorophyll synthase ChlG
TIGR02057	phosphoadenosine phosphosulfate reductase
TIGR02060	adenylylsulfate reductase, beta subunit
TIGR02061	adenylylsulfate reductase, alpha subunit
TIGR02062	exoribonuclease II
TIGR02063	ribonuclease R
TIGR02064	sulfite reductase, dissimilatory-type alpha subunit
TIGR02065	exosome complex exonuclease 1
TIGR02066	sulfite reductase, dissimilatory-type beta subunit
TIGR02067	histidinol-phosphatase
TIGR02068	cyanophycin synthetase
TIGR02069	cyanophycinase
TIGR02070	monofunctional biosynthetic peptidoglycan transglycosylase
TIGR02072	malonyl-acyl carrier protein O-methyltransferase BioC
TIGR02075	UMP kinase
TIGR02076	putative uridylate kinase
TIGR02078	putative Pyrococcus aspartate kinase subunit
TIGR02079	threonine dehydratase
TIGR02080	O-succinylhomoserine (thiol)-lyase
TIGR02082	methionine synthase
TIGR02083	3-isopropylmalate dehydratase, large subunit
TIGR02084	3-isopropylmalate dehydratase, small subunit
TIGR02085	23S rRNA (uracil-5-)-methyltransferase RumB
TIGR02089	tartrate dehydrogenase
TIGR02091	glucose-1-phosphate adenylyltransferase
TIGR02092	glucose-1-phosphate adenylyltransferase, GlgD subunit
TIGR02093	glycogen/starch/alpha-glucan phosphorylases
TIGR02094	alpha-glucan phosphorylases
TIGR02095	glycogen/starch synthase, ADP-glucose type
TIGR02100	glycogen debranching enzyme GlgX
TIGR02103	alpha-1,6-glucosidases, pullulanase-type
TIGR02104	pullulanase, type I
TIGR02113	phosphopantothenoylcysteine decarboxylase
TIGR02114	phosphopantothenate--cysteine ligase
TIGR02115	K+-transporting ATPase, F subunit
TIGR02127	orotidine 5'-phosphate decarboxylase
TIGR02128	bifunctional phosphoglucose/phosphomannose isomerase
TIGR02129	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
TIGR02130	dihydrodipicolinate reductase
TIGR02133	ribose 5-phosphate isomerase
TIGR02134	transaldolase
TIGR02137	phosphoserine phosphatase/homoserine phosphotransferase bifunctional protein
TIGR02142	molybdate ABC transporter, ATP-binding protein
TIGR02143	tRNA (uracil(54)-C(5))-methyltransferase
TIGR02146	homocitrate synthase
TIGR02150	isopentenyl-diphosphate delta-isomerase
TIGR02151	isopentenyl-diphosphate delta-isomerase, type 2
TIGR02152	ribokinase
TIGR02153	glutamyl-tRNA(Gln) amidotransferase, subunit D
TIGR02155	phenylacetate-CoA ligase
TIGR02164	trimethylamine-N-oxide reductase TorA
TIGR02170	thymidylate synthase, flavin-dependent
TIGR02173	putative cytidylate kinase
TIGR02176	pyruvate:ferredoxin (flavodoxin) oxidoreductase
TIGR02188	acetate--CoA ligase
TIGR02191	ribonuclease III
TIGR02193	lipopolysaccharide heptosyltransferase I
TIGR02195	lipopolysaccharide heptosyltransferase II
TIGR02197	ADP-glyceromanno-heptose 6-epimerase
TIGR02198	bifunctional protein RfaE, domain I
TIGR02199	bifunctional protein RfaE, domain II
TIGR02201	putative lipopolysaccharide heptosyltransferase III
TIGR02207	lipid A biosynthesis lauroyl (or palmitoleoyl) acyltransferase
TIGR02208	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase
TIGR02211	lipoprotein releasing system, ATP-binding protein
TIGR02227	signal peptidase I
TIGR02228	signal peptidase I
TIGR02230	putative F0F1-ATPase subunit
TIGR02235	1,4-dihydroxy-2-naphthoate phytyltransferase
TIGR02240	poly(3-hydroxyalkanoate) depolymerase
TIGR02250	FCP1-like phosphatase, phosphatase domain
TIGR02254	noncanonical pyrimidine nucleotidase, YjjG family
TIGR02257	cobaltochelatase, CobN subunit
TIGR02258	2'-5' RNA ligase
TIGR02259	benzoyl-CoA reductase, subunit A
TIGR02260	benzoyl-CoA reductase, subunit B
TIGR02261	benzoyl-CoA reductase, subunit D
TIGR02263	benzoyl-CoA reductase, subunit C
TIGR02272	gentisate 1,2-dioxygenase
TIGR02274	deoxycytidine triphosphate deaminase
TIGR02275	(2,3-dihydroxybenzoyl)adenylate synthase
TIGR02279	3-hydroxyacyl-CoA dehydrogenase PaaC
TIGR02280	phenylacetate degradation probable enoyl-CoA hydratase PaaB
TIGR02281	clan AA aspartic protease, TIGR02281 family
TIGR02282	lytic murein transglycosylase B
TIGR02283	lytic murein transglycosylase
TIGR02289	oligoendopeptidase, M3 family
TIGR02290	oligoendopeptidase, pepF/M3 family
TIGR02295	3,4-dihydroxyphenylacetate 2,3-dioxygenase
TIGR02296	4-hydroxyphenylacetate 3-monooxygenase, reductase component
TIGR02298	3,4-dihydroxyphenylacetate 2,3-dioxygenase
TIGR02299	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
TIGR02303	4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase, C-terminal subunit
TIGR02305	4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase, N-terminal subunit
TIGR02306	RNA ligase
TIGR02307	RNA ligase, Rnl2 family
TIGR02308	RNA ligase, T4 RnlA family
TIGR02309	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component
TIGR02310	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component
TIGR02311	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase
TIGR02312	2-oxo-hepta-3-ene-1,7-dioic acid hydratase
TIGR02313	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase
TIGR02314	D-methionine ABC transporter, ATP-binding protein
TIGR02315	phosphonate ABC transporter, ATP-binding protein
TIGR02316	propionate--CoA ligase
TIGR02317	methylisocitrate lyase
TIGR02319	carboxyvinyl-carboxyphosphonate phosphorylmutase
TIGR02320	phosphoenolpyruvate mutase
TIGR02321	phosphonopyruvate hydrolase
TIGR02326	2-aminoethylphosphonate--pyruvate transaminase
TIGR02330	2-methylcitrate dehydratase
TIGR02333	2-methylisocitrate dehydratase, Fe/S-dependent
TIGR02335	phosphonoacetate hydrolase
TIGR02336	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
TIGR02352	glycine oxidase ThiO
TIGR02356	thiazole biosynthesis adenylyltransferase ThiF
TIGR02360	4-hydroxybenzoate 3-monooxygenase
TIGR02361	dihydroxyacetone kinase
TIGR02363	dihydroxyacetone kinase, DhaK subunit
TIGR02365	dihydroxyacetone kinase, L subunit
TIGR02367	pyrrolysine--tRNA ligase, C-terminal region
TIGR02368	dimethylamine:corrinoid methyltransferase
TIGR02369	trimethylamine:corrinoid methyltransferase
TIGR02371	alanine dehydrogenase
TIGR02372	4-coumarate--CoA ligase
TIGR02374	nitrite reductase [NAD(P)H], large subunit
TIGR02376	nitrite reductase, copper-containing
TIGR02378	nitrite reductase [NAD(P)H], small subunit
TIGR02380	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase
TIGR02398	glucosylglycerol-phosphate synthase
TIGR02399	glucosylglycerol 3-phosphatase
TIGR02400	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
TIGR02401	malto-oligosyltrehalose synthase
TIGR02402	malto-oligosyltrehalose trehalohydrolase
TIGR02403	alpha,alpha-phosphotrehalase
TIGR02406	diaminobutyrate acetyltransferase
TIGR02407	diaminobutyrate--2-oxoglutarate aminotransferase
TIGR02408	ectoine hydroxylase
TIGR02409	gamma-butyrobetaine hydroxylase
TIGR02410	trimethyllysine dioxygenase
TIGR02411	leukotriene A-4 hydrolase/aminopeptidase
TIGR02412	aminopeptidase N
TIGR02414	aminopeptidase N
TIGR02415	acetoin reductases
TIGR02416	carbon-monoxide dehydrogenase, large subunit
TIGR02418	acetolactate synthase, catabolic
TIGR02422	protocatechuate 3,4-dioxygenase, beta subunit
TIGR02423	protocatechuate 3,4-dioxygenase, alpha subunit
TIGR02425	4-carboxymuconolactone decarboxylase
TIGR02426	3-carboxy-cis,cis-muconate cycloisomerase
TIGR02427	3-oxoadipate enol-lactonase
TIGR02428	3-oxoacid CoA-transferase, B subunit
TIGR02429	3-oxoacid CoA-transferase, A subunit
TIGR02430	3-oxoadipyl-CoA thiolase
TIGR02432	tRNA(Ile)-lysidine synthetase
TIGR02433	tRNA(Ile)-lysidine synthetase, C-terminal domain
TIGR02434	precorrin-6A synthase (deacetylating)
TIGR02435	precorrin-3B synthase
TIGR02437	fatty oxidation complex, alpha subunit FadB
TIGR02438	catechol 1,2-dioxygenase
TIGR02439	catechol 1,2-dioxygenase
TIGR02440	fatty oxidation complex, alpha subunit FadJ
TIGR02441	fatty acid oxidation complex, alpha subunit, mitochondrial
TIGR02442	cobaltochelatase subunit
TIGR02445	acetyl-CoA C-acyltransferase FadA
TIGR02446	acetyl-CoA C-acyltransferase FadI
TIGR02455	trehalose synthase
TIGR02456	trehalose synthase
TIGR02460	mannosyl-3-phosphoglycerate synthase
TIGR02461	mannosyl-3-phosphoglycerate phosphatase
TIGR02462	pyranose oxidase
TIGR02463	mannosyl-3-phosphoglycerate phosphatase homolog
TIGR02467	precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit
TIGR02468	sucrose phosphate synthase
TIGR02469	precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit
TIGR02470	sucrose synthase
TIGR02472	sucrose-phosphate synthase, putative, glycosyltransferase domain
TIGR02474	pectate lyase
TIGR02476	5,6-dimethylbenzimidazole synthase
TIGR02477	diphosphate--fructose-6-phosphate 1-phosphotransferase
TIGR02478	6-phosphofructokinase
TIGR02482	6-phosphofructokinase
TIGR02486	reductive dehalogenase
TIGR02487	anaerobic ribonucleoside-triphosphate reductase
TIGR02491	anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR02493	pyruvate formate-lyase 1-activating enzyme
TIGR02494	glycyl-radical enzyme activating protein
TIGR02495	anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR02504	ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent
TIGR02505	ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent
TIGR02506	ribonucleoside-diphosphate reductase, alpha subunit
TIGR02507	tetrahydromethanopterin S-methyltransferase, F subunit
TIGR02510	ribonucleoside-diphosphate reductase, alpha chain
TIGR02512	[FeFe] hydrogenase, group A
TIGR02518	acetaldehyde dehydrogenase (acetylating)
TIGR02534	muconate and chloromuconate cycloisomerases
TIGR02539	O-phospho-L-seryl-tRNA:Cys-tRNA synthase
TIGR02540	putative glutathione peroxidase Gpx7
TIGR02546	type III secretion apparatus H+-transporting two-sector ATPase
TIGR02563	CRISPR-associated endoribonuclease Cas6/Csy4, subtype I-F/YPEST
TIGR02602	exosortase
TIGR02617	tryptophanase
TIGR02618	tyrosine phenol-lyase
TIGR02622	CDP-glucose 4,6-dehydratase
TIGR02623	glucose-1-phosphate cytidylyltransferase
TIGR02624	rhamnulose-1-phosphate aldolase
TIGR02625	L-rhamnose mutarotase
TIGR02627	rhamnulokinase
TIGR02628	L-fuculokinase
TIGR02629	L-rhamnose catabolism isomerase
TIGR02630	xylose isomerase
TIGR02631	xylose isomerase
TIGR02632	rhamnulose-1-phosphate aldolase/alcohol dehydrogenase
TIGR02633	D-xylose ABC transporter, ATP-binding protein
TIGR02635	L-rhamnose isomerase
TIGR02636	galactose mutarotase
TIGR02638	lactaldehyde reductase
TIGR02643	thymidine phosphorylase
TIGR02644	pyrimidine-nucleoside phosphorylase
TIGR02645	putative thymidine phosphorylase
TIGR02649	ribonuclease BN
TIGR02650	ribonuclease Z, Thermotoga type
TIGR02651	ribonuclease Z
TIGR02655	circadian clock protein KaiC
TIGR02658	methylamine dehydrogenase (amicyanin) heavy chain
TIGR02659	methylamine dehydrogenase (amicyanin) light chain
TIGR02660	homocitrate synthase
TIGR02662	ADP-ribosyl-[dinitrogen reductase] hydrolase
TIGR02665	molybdenum cofactor guanylyltransferase
TIGR02685	pteridine reductase
TIGR02689	arsenate reductase, glutathione/glutaredoxin type
TIGR02691	arsenate reductase (thioredoxin)
TIGR02692	CCA tRNA nucleotidyltransferase
TIGR02693	arsenite oxidase, large subunit
TIGR02694	arsenite oxidase, small subunit
TIGR02696	guanosine pentaphosphate synthetase I/polyribonucleotide nucleotidyltransferase
TIGR02701	carboxysome shell carbonic anhydrase
TIGR02705	nucleoside triphosphatase YtkD
TIGR02706	phosphate butyryltransferase
TIGR02707	butyrate kinase
TIGR02708	L-lactate oxidase
TIGR02709	branched-chain phosphotransacylase
TIGR02712	urea carboxylase
TIGR02713	allophanate hydrolase
TIGR02714	ring-opening amidohydrolases
TIGR02715	amidohydrolase, AtzE family
TIGR02716	C-20 methyltransferase BchU
TIGR02717	acetyl coenzyme A synthetase (ADP forming), alpha domain
TIGR02720	pyruvate oxidase
TIGR02721	thiamine kinase
TIGR02723	phenylphosphate carboxylase, alpha subunit
TIGR02727	5-formyltetrahydrofolate cyclo-ligase
TIGR02730	carotene isomerase
TIGR02731	phytoene desaturase
TIGR02732	9,9'-di-cis-zeta-carotene desaturase
TIGR02733	C-3',4' desaturase CrtD
TIGR02734	phytoene desaturase
TIGR02735	phosphoribosylaminoimidazole-succinocarboxamide synthase
TIGR02736	cytochrome c oxidase, cbb3-type, CcoQ subunit
TIGR02748	heptaprenyl diphosphate synthase component II
TIGR02749	solanesyl diphosphate synthase
TIGR02751	phosphoenolpyruvate carboxylase
TIGR02752	demethylmenaquinone methyltransferase
TIGR02753	superoxide dismutase, Ni
TIGR02754	nickel-type superoxide dismutase maturation protease
TIGR02755	type-F conjugative transfer system pilin acetylase TraX
TIGR02760	conjugative transfer relaxase protein TraI
TIGR02769	nickel import ATP-binding protein NikE
TIGR02789	nickel ABC transporter, permease subunit NikB
TIGR02790	nickel ABC transporter, permease subunit NikC
TIGR02792	protocatechuate 4,5-dioxygenase, alpha subunit
TIGR02798	4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase
TIGR02799	tol-pal system-associated acyl-CoA thioesterase
TIGR02806	clostripain
TIGR02810	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit
TIGR02818	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
TIGR02819	formaldehyde dehydrogenase, glutathione-independent
TIGR02820	S-(hydroxymethyl)glutathione synthase
TIGR02821	S-formylglutathione hydrolase
TIGR02822	zinc-binding alcohol dehydrogenase family protein
TIGR02825	leukotriene B4 12-hydroxydehydrogenase/15-oxo-prostaglandin 13-reductase
TIGR02826	anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR02827	anaerobic ribonucleoside-triphosphate reductase
TIGR02842	cytochrome o ubiquinol oxidase, subunit III
TIGR02843	cytochrome o ubiquinol oxidase, subunit I
TIGR02847	cytochrome o ubiquinol oxidase subunit IV
TIGR02854	sigma-E processing peptidase SpoIIGA
TIGR02860	stage IV sporulation protein B
TIGR02865	stage II sporulation protein E
TIGR02866	cytochrome c oxidase, subunit II
TIGR02882	cytochrome aa3 quinol oxidase, subunit I
TIGR02883	N-acetylmuramoyl-L-alanine amidase CwlD
TIGR02884	delta-lactam-biosynthetic de-N-acetylase
TIGR02891	cytochrome c oxidase, subunit I
TIGR02897	cytochrome aa3 quinol oxidase, subunit III
TIGR02901	cytochrome aa3 quinol oxidase, subunit IV
TIGR02902	ATP-dependent protease LonB
TIGR02903	ATP-dependent protease, Lon family
TIGR02908	cytochrome c oxidase, subunit IVB
TIGR02910	sulfite reductase, subunit A
TIGR02911	sulfite reductase, subunit B
TIGR02912	sulfite reductase, subunit C
TIGR02916	putative PEP-CTERM system histidine kinase
TIGR02918	accessory Sec system glycosylation protein GtfA
TIGR02919	accessory Sec system glycosyltransferase GtfB
TIGR02923	ATP synthase A1, C subunit
TIGR02924	isocitrate dehydrogenase
TIGR02925	peptidyl-prolyl cis-trans isomerase, EpsD family
TIGR02926	ATP synthase archaeal, H subunit
TIGR02927	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase
TIGR02929	Fe-only nitrogenase, delta subunit
TIGR02930	V-containing nitrogenase, delta subunit
TIGR02931	Fe-only nitrogenase, beta subunit
TIGR02932	V-containing nitrogenase, beta subunit
TIGR02946	acyltransferase, WS/DGAT/MGAT
TIGR02956	TMAO reductase sytem sensor TorS
